EventID	xpos	ypos	zpos	hitE	stepL
0	0	0	0.0162531	0.00372132	0.026023
0	-0.00305831	0.00182287	0.0252565	0.00402694	0.0209667
0	-0.0035514	0.00257328	0.0273913	0.00153714	0.0132703
0	-0.00348623	0.00300203	0.0271967	0.000714608	0.00825264
1	0	0	0.0162531	0.00340781	0.026023
1	-0.0057776	-0.0078346	0.0130243	0.00243732	0.0214412
1	-0.00420409	-0.0025003	0.0126183	0.00199491	0.0173871
1	-0.00346619	-0.000467118	0.0127979	0.00149	0.0130302
1	-0.00326881	-0.00084015	0.0126706	0.000669951	0.00804687
2	0	0	0.0162531	0.00364359	0.026023
2	0.00145261	0.00178576	0.0258048	0.00254306	0.0210854
2	-0.00212319	0.00455647	0.0237843	0.00194294	0.0167323
2	-0.00386034	0.00424051	0.0236707	0.00139213	0.0122532
2	-0.00377643	0.00401763	0.0238437	0.000478273	0.00707325
3	0	0	0.0162531	0.00301435	0.026023
3	0.00319631	0.00723166	0.0238511	0.00313457	0.0220214
3	-0.000521326	0.0105903	0.0235715	0.00191243	0.016806
3	-0.00176886	0.010517	0.0222075	0.00140271	0.0124425
3	-0.00154944	0.0102758	0.0221121	0.000535936	0.00738403
4	0	0	0.0162531	0.00264557	0.026023
4	-0.00607904	0.000832612	0.0261684	0.00261111	0.022551
4	-0.00526411	-0.00132192	0.0324996	0.00217498	0.0184551
4	-0.00346045	-0.00328505	0.0334592	0.0015557	0.0140524
4	-0.00290859	-0.00320673	0.0339585	0.000992819	0.00948616
4	-0.000960382	-0.0051177	0.0345567	1.98339e-05	0.00279378
5	0	0	0.0162531	0.00294841	0.026023
5	0.0093994	-0.00582505	0.0154018	0.00424047	0.0221171
5	0.0126076	-0.00612117	0.0157627	0.00165882	0.0146189
5	0.0127268	-0.00694076	0.015394	0.00107402	0.0100006
5	0.0107132	-0.00360384	0.0154785	7.82871e-05	0.0038983
6	0	0	0.0162531	0.0030134	0.026023
6	0.00578268	0.00462732	0.0243421	0.00261129	0.0220228
6	0.00247774	3.76918e-05	0.0223055	0.0021171	0.0177956
6	0.00302905	0.00178813	0.023735	0.00151847	0.0132865
6	0.00342695	0.00148841	0.0237418	0.000739746	0.00836563
7	0	0	0.0162531	0.00400277	0.026023
7	0.000727956	0.000361911	0.0253744	0.00599723	0.0205308
8	0	0	0.0162531	0.00297481	0.026023
8	-0.000521831	-0.0109222	0.0177795	0.00246978	0.0220789
8	-4.24988e-05	-0.00532704	0.0147794	0.00210107	0.0181217
8	-0.00168053	-0.00606789	0.0128398	0.00180436	0.013776
8	-0.00207622	-0.00594904	0.0129452	0.000649981	0.00795263
9	0	0	0.0162531	0.00309543	0.026023
9	0.00809998	-0.00653839	0.0191951	0.00310813	0.0219032
9	0.00608936	-0.00386234	0.0155812	0.00200324	0.0166991
9	0.00512727	-0.00310703	0.0144339	0.00133638	0.0120348
9	0.00511135	-0.00283813	0.0145004	0.000456817	0.00695283
